cell,init,arm,n_pos,R,cell_median_R,pooled_descriptive_median_R
libero_goal_t0_vs_t6,1,LOC,128,0.057051702171139064,0.057051702171139064,0.043358237285080065
libero_goal_t0_vs_t6,1,RAND,128,0.07471428665401686,0.04666498756529073,0.07885590549799881
libero_goal_t0_vs_t6,1,LOC,256,0.072776356324284,0.072776356324284,0.08185923987198931
libero_goal_t0_vs_t6,1,RAND,256,0.17314859408486652,0.26958146809061884,0.18020413913340322
libero_goal_t0_vs_t6,1,LOC,512,0.7808561998990912,0.7808561998990912,0.7732458939775065
libero_goal_t0_vs_t6,1,RAND,512,0.7808561998990912,0.7808561998990912,0.7732458939775065
libero_goal_t0_vs_t6,2,LOC,4,0.003962454331750033,0.003962454331750033,0.0016333555509041912
libero_goal_t0_vs_t6,2,RAND,4,-0.0022776088943455178,1.927134909299516e-05,0.00011898447711440095
libero_goal_t0_vs_t6,2,LOC,8,0.004592687957804173,0.004592687957804173,0.004266180166097809
libero_goal_t0_vs_t6,2,RAND,8,-2.1177222869087647e-05,0.001701988165911692,0.0011299765445429199
libero_goal_t0_vs_t6,2,LOC,16,0.014144859938566736,0.011192494027312504,0.005613640435539619
libero_goal_t0_vs_t6,2,RAND,16,0.0003401019371448048,0.0004012793054655744,0.0007504291551753025
libero_goal_t0_vs_t6,2,LOC,32,0.024355085197633658,0.024355085197633658,0.010097458406011315
libero_goal_t0_vs_t6,2,RAND,32,0.11047145996630564,0.00431314722594062,0.008974087541989327
libero_goal_t0_vs_t6,2,LOC,64,0.04016365053847384,0.04179494154382283,0.018408005189508227
libero_goal_t0_vs_t6,2,RAND,64,0.009065719551991841,0.009065719551991841,0.011327657846378257
libero_goal_t0_vs_t6,2,LOC,128,0.04529741205566952,0.057051702171139064,0.043358237285080065
libero_goal_t0_vs_t6,2,RAND,128,-0.003179531495357923,0.04666498756529073,0.07885590549799881
libero_goal_t0_vs_t6,2,LOC,256,0.09415469903727122,0.072776356324284,0.08185923987198931
libero_goal_t0_vs_t6,2,RAND,256,0.26958146809061884,0.26958146809061884,0.18020413913340322
libero_goal_t0_vs_t6,2,LOC,512,0.7656355880559219,0.7808561998990912,0.7732458939775065
libero_goal_t0_vs_t6,2,RAND,512,0.7656355880559219,0.7808561998990912,0.7732458939775065
libero_goal_t0_vs_t9,0,LOC,4,0.0008111770609234977,0.0008492580811683577,0.0016333555509041912
libero_goal_t0_vs_t9,0,RAND,4,0.005674559413550347,0.00011805618426776387,0.00011898447711440095
libero_goal_t0_vs_t9,0,LOC,8,0.005625863881040745,0.005625863881040745,0.004266180166097809
libero_goal_t0_vs_t9,0,RAND,8,0.0004665102437441405,0.0011616931006417641,0.0011299765445429199
libero_goal_t0_vs_t9,0,LOC,16,0.00552601815725251,0.00552601815725251,0.005613640435539619
libero_goal_t0_vs_t9,0,RAND,16,-0.0051575939020879775,1.2949386418540436e-05,0.0007504291551753025
libero_goal_t0_vs_t9,0,LOC,32,0.0052161587927503006,0.0052161587927503006,0.010097458406011315
libero_goal_t0_vs_t9,0,RAND,32,0.008751550304207384,0.016560086603443016,0.008974087541989327
libero_goal_t0_vs_t9,0,LOC,64,0.008318140529050045,0.008318140529050045,0.018408005189508227
